isbn_10,tag,tag_id
0007126875,2021,tag-01-003
0007126875,🍔 North America,tag-04-002
0007126875,🏗️ Contemporary,tag-03-007
0007126875,🕯️ Cultural,tag-02-005
0007126875,🥐 Europe,tag-04-001
0007126875,Over 1 year old,tag-01-008
0007558376,2020,tag-01-002
0007558376,🇪🇸 Spain,tag-05-053
0007558376,🏗️ Contemporary,tag-03-007
0007558376,🏭 Late Modern,tag-03-006
0007558376,👑 Political,tag-02-001
0007558376,🥐 Europe,tag-04-001
0007558376,Over 1 year old,tag-01-008
0007575548,2020,tag-01-002
0007575548,🍭 Global,tag-04-007
0007575548,🏭 Late Modern,tag-03-006
0007575548,👑 Political,tag-02-001
0007575548,Over 1 year old,tag-01-008
0007578830,2020,tag-01-002
0007578830,🇬🇧 UK,tag-05-059
0007578830,🏭 Late Modern,tag-03-006
0007578830,🕯️ Cultural,tag-02-005
0007578830,🥐 Europe,tag-04-001
0007578830,Over 1 year old,tag-01-008
0008106223,2024,tag-01-006
0008106223,🇬🇧 UK,tag-05-059
0008106223,🏭 Late Modern,tag-03-006
0008106223,👑 Political,tag-02-001
0008106223,🥐 Europe,tag-04-001
0008106223,Over 1 year old,tag-01-008
0008128340,2021,tag-01-003
0008128340,🇬🇧 UK,tag-05-059
0008128340,🏭 Late Modern,tag-03-006
0008128340,🥐 Europe,tag-04-001
0008128340,🚽 Social,tag-02-003
0008128340,Over 1 year old,tag-01-008
0008171963,2022,tag-01-004
0008171963,🇬🇧 UK,tag-05-059
0008171963,🏰 Middle Ages,tag-03-004
0008171963,👑 Political,tag-02-001
0008171963,🥐 Europe,tag-04-001
0008171963,Over 1 year old,tag-01-008
0008211094,2019,tag-01-001
0008211094,🇮🇹 Italy,tag-05-028
0008211094,🏛️ Ancient,tag-03-003
0008211094,🕯️ Cultural,tag-02-005
0008211094,🥐 Europe,tag-04-001
0008211094,Over 1 year old,tag-01-008
0008225117,2019,tag-01-001
0008225117,⛩️ All periods,tag-03-008
0008225117,🇬🇧 UK,tag-05-059
0008225117,🇮🇪 Ireland,tag-05-026
0008225117,🥐 Europe,tag-04-001
0008225117,🚽 Social,tag-02-003
0008225117,Over 1 year old,tag-01-008
0008274940,2020,tag-01-002
0008274940,⚔️ Military,tag-02-004
0008274940,🇬🇧 UK,tag-05-059
0008274940,🏗️ Contemporary,tag-03-007
0008274940,🥐 Europe,tag-04-001
0008274940,Over 1 year old,tag-01-008
0008280525,2019,tag-01-001
0008280525,⚔️ Military,tag-02-004
0008280525,🇬🇧 UK,tag-05-059
0008280525,🏗️ Contemporary,tag-03-007
0008280525,🥐 Europe,tag-04-001
0008280525,Over 1 year old,tag-01-008
0008282021,2022,tag-01-004
0008282021,⛪ Early Modern,tag-03-005
0008282021,🇬🇧 UK,tag-05-059
0008282021,🥐 Europe,tag-04-001
0008282021,🚽 Social,tag-02-003
0008282021,Over 1 year old,tag-01-008
0008284393,2022,tag-01-004
0008284393,⚔️ Military,tag-02-004
0008284393,🇬🇷 Greece,tag-05-017
0008284393,🍔 North America,tag-04-002
0008284393,🏛️ Ancient,tag-03-003
0008284393,👑 Political,tag-02-001
0008284393,Over 1 year old,tag-01-008
0008285675,2020,tag-01-002
0008285675,🏗️ Contemporary,tag-03-007
0008285675,🏭 Late Modern,tag-03-006
0008285675,🥐 Europe,tag-04-001
0008285675,🚽 Social,tag-02-003
0008285675,Over 1 year old,tag-01-008
0008296804,2020,tag-01-002
0008296804,⛪ Early Modern,tag-03-005
0008296804,🇬🇧 UK,tag-05-059
0008296804,👑 Political,tag-02-001
0008296804,🥐 Europe,tag-04-001
0008296804,Over 1 year old,tag-01-008
0008299862,2019,tag-01-001
0008299862,🇬🇧 UK,tag-05-059
0008299862,🏰 Middle Ages,tag-03-004
0008299862,👑 Political,tag-02-001
0008299862,🥐 Europe,tag-04-001
0008299862,🚽 Social,tag-02-003
0008299862,Over 1 year old,tag-01-008
0008303290,2019,tag-01-001
0008303290,🇺🇸 USA,tag-05-060
0008303290,🍔 North America,tag-04-002
0008303290,🏭 Late Modern,tag-03-006
0008303290,👑 Political,tag-02-001
0008303290,Over 1 year old,tag-01-008
0008313415,2019,tag-01-001
0008313415,⛪ Early Modern,tag-03-005
0008313415,🏗️ Contemporary,tag-03-007
0008313415,🏭 Late Modern,tag-03-006
0008313415,🕯️ Cultural,tag-02-005
0008313415,🥐 Europe,tag-04-001
0008313415,Over 1 year old,tag-01-008
0008318832,2021,tag-01-003
0008318832,⛩️ All periods,tag-03-008
0008318832,🍭 Global,tag-04-007
0008318832,🚽 Social,tag-02-003
0008318832,Over 1 year old,tag-01-008
0008339015,2019,tag-01-001
0008339015,⛪ Early Modern,tag-03-005
0008339015,🍤 Australasia,tag-04-006
0008339015,🏭 Late Modern,tag-03-006
0008339015,🏰 Middle Ages,tag-03-004
0008339015,👑 Political,tag-02-001
0008339015,🚽 Social,tag-02-003
0008339015,Over 1 year old,tag-01-008
0008347549,2025,tag-01-007
0008347549,⛩️ All periods,tag-03-008
0008347549,🍗 Africa,tag-04-004
0008347549,🍜 Asia,tag-04-005
0008347549,🕯️ Cultural,tag-02-005
0008347549,🥐 Europe,tag-04-001
0008347549,🚽 Social,tag-02-003
0008353077,2021,tag-01-003
0008353077,⭐ PHB 5 stars award,tag-07-002
0008353077,🍜 Asia,tag-04-005
0008353077,🏰 Middle Ages,tag-03-004
0008353077,👑 Political,tag-02-001
0008353077,💰 Economic,tag-02-002
0008353077,📝 Reviewed,tag-06-001
0008353077,🥐 Europe,tag-04-001
0008353077,Over 1 year old,tag-01-008
0008353816,2024,tag-01-006
0008353816,🇿🇦 South Africa,tag-05-070
0008353816,🍗 Africa,tag-04-004
0008353816,🏗️ Contemporary,tag-03-007
0008353816,👑 Political,tag-02-001
0008353816,📀 Wolfson prize shortlisted,tag-07-005
0008353816,🚽 Social,tag-02-003
0008353816,Over 1 year old,tag-01-008
0008356696,2023,tag-01-005
0008356696,🇬🇧 UK,tag-05-059
0008356696,🏛️ Ancient,tag-03-003
0008356696,🥐 Europe,tag-04-001
0008356696,🚽 Social,tag-02-003
0008356696,Over 1 year old,tag-01-008
0008358222,2022,tag-01-004
0008358222,⛪ Early Modern,tag-03-005
0008358222,🇵🇹 Portugal,tag-05-048
0008358222,🍭 Global,tag-04-007
0008358222,🥐 Europe,tag-04-001
0008358222,🚽 Social,tag-02-003
0008358222,Over 1 year old,tag-01-008
0008364990,2022,tag-01-004
0008364990,🇨🇺 Cuba,tag-05-009
0008364990,🍔 North America,tag-04-002
0008364990,🏗️ Contemporary,tag-03-007
0008364990,👑 Political,tag-02-001
0008364990,Over 1 year old,tag-01-008
0008389969,2021,tag-01-003
0008389969,⛪ Early Modern,tag-03-005
0008389969,🇬🇧 UK,tag-05-059
0008389969,👑 Political,tag-02-001
0008389969,🕯️ Cultural,tag-02-005
0008389969,🥐 Europe,tag-04-001
0008389969,Over 1 year old,tag-01-008
0008416044,2024,tag-01-006
0008416044,⛪ Early Modern,tag-03-005
0008416044,🇹🇷 Turkey,tag-05-057
0008416044,🏗️ Contemporary,tag-03-007
0008416044,🕯️ Cultural,tag-02-005
0008416044,🥐 Europe,tag-04-001
0008416044,Over 1 year old,tag-01-008
000841811X,2023,tag-01-005
000841811X,⛩️ All periods,tag-03-008
000841811X,🍭 Global,tag-04-007
000841811X,🕯️ Cultural,tag-02-005
000841811X,🚽 Social,tag-02-003
000841811X,Over 1 year old,tag-01-008
0008436460,2024,tag-01-006
0008436460,⛩️ All periods,tag-03-008
0008436460,🍭 Global,tag-04-007
0008436460,📝 Reviewed,tag-06-001
0008436460,🕯️ Cultural,tag-02-005
0008436460,🚽 Social,tag-02-003
0008436460,Over 1 year old,tag-01-008
0008436983,2023,tag-01-005
0008436983,⛪ Early Modern,tag-03-005
0008436983,🇬🇧 UK,tag-05-059
0008436983,🏭 Late Modern,tag-03-006
0008436983,🕯️ Cultural,tag-02-005
0008436983,🥐 Europe,tag-04-001
0008436983,Over 1 year old,tag-01-008
0008437025,2021,tag-01-003
0008437025,⛪ Early Modern,tag-03-005
0008437025,🇬🇧 UK,tag-05-059
0008437025,🏭 Late Modern,tag-03-006
0008437025,📝 Reviewed,tag-06-001
0008437025,🥐 Europe,tag-04-001
0008437025,🚽 Social,tag-02-003
0008437025,Over 1 year old,tag-01-008
0008447322,2023,tag-01-005
0008447322,🇬🇧 UK,tag-05-059
0008447322,🏰 Middle Ages,tag-03-004
0008447322,👑 Political,tag-02-001
0008447322,📝 Reviewed,tag-06-001
0008447322,🥐 Europe,tag-04-001
0008447322,Over 1 year old,tag-01-008
0008466815,2025,tag-01-007
0008466815,🇦🇪 UAE,tag-05-081
0008466815,🇧🇩 Bangladesh,tag-05-068
0008466815,🇧🇭 Bahrain,tag-05-076
0008466815,🇧🇹 Bhutan,tag-05-077
0008466815,🇮🇳 India,tag-05-023
0008466815,🇰🇼 Kuwait,tag-05-078
0008466815,🇲🇲 Myanmar,tag-05-040
0008466815,🇳🇵 Nepal,tag-05-041
0008466815,🇴🇲 Oman,tag-05-079
0008466815,🇵🇰 Pakistan,tag-05-069
0008466815,🇶🇦 Qatar,tag-05-080
0008466815,🇾🇪 Yemen,tag-05-082
0008466815,🍜 Asia,tag-04-005
0008466815,🏗️ Contemporary,tag-03-007
0008466815,👑 Political,tag-02-001
0008469660,2025,tag-01-007
0008469660,🇷🇺 Russia,tag-05-051
0008469660,🍜 Asia,tag-04-005
0008469660,🏗️ Contemporary,tag-03-007
