isbn_10,title,hb_publish_date,author,publisher,isbn_13,pages,tags,tags_bespoke,review_url,review_stars
1526672294,The Blood in Winter: A Nation Descends 1642,26/06/2025,Jonathan Healey,Bloomsbury Publishing,9781526672292,432,👑 Political;⛪ Early Modern;🥐 Europe;🇬🇧 UK,,,
0008466815,Shattered Lands: Five Partitions and the Making of Modern Asia,19/06/2025,Sam Dalrymple,William Collins,9780008466817,528,👑 Political;🏗️ Contemporary;🍜 Asia;🇧🇩 Bangladesh;🇮🇳 India;🇲🇲 Myanmar;🇳🇵 Nepal;🇵🇰 Pakistan,,,
1009550527,The Women Who Threw Corn: Witchcraft and Inquisition in Sixteenth-Century Mexico,26/06/2025,Martin Austin Nesvig,Cambridge University Press,9781009550529,320,🚽 Social;⛪ Early Modern;🌽 Central and S America;🇲🇽 Mexico,,,
0241700868,Destroyer of Worlds: The Deep History of the Nuclear Age: 1895-1965,10/06/2025,Frank Close,Allen Lane,9780241700860,336,🕯️ Cultural;🏭 Late Modern;🏗️ Contemporary;🍭 Global,,,
0300275552,No More Napoleons: How Britain Managed Europe from Waterloo to World War One,03/06/2025,Andrew Lambert,Yale University Press,9780300275551,596,👑 Political;🏭 Late Modern;🥐 Europe;🇬🇧 UK,,,
1529333741,An Accidental History of Tudor England: From Daily Life to Sudden Death,19/06/2025,Steven Gunn,John Murray Publishers,9781529333749,320,🚽 Social;⛪ Early Modern;🥐 Europe;🇬🇧 UK,,,
0691221227,"India: 5,000 Years of History on the Subcontinent",03/06/2025,Audrey Truschke,Princeton University Press,9780691221229,712,👑 Political;🚽 Social;⛩️ All periods;🍜 Asia;🇮🇳 India,,,
1911717030,Empire Without End: A New History of Britain and the Caribbean,05/06/2025,Imaobong Umoren,Fern Press,9781911717034,528,👑 Political;🚽 Social;⛪ Early Modern;🏭 Late Modern;🏗️ Contemporary;🌽 Central and S America;🇬🇧 UK,,,
069118383X,The World at First Light: A New History of the Renaissance,03/06/2025,Bernd Roeck,Princeton University Press,9780691183831,1168,🕯️ Cultural;⛪ Early Modern;🥐 Europe,,,
0198882432,The Dandy: A People's History of Sartorial Splendour,12/06/2025,"EDITOR., Peter K. Andersson",Oxford University Press,9780198882435,352,🕯️ Cultural;🏭 Late Modern;🥐 Europe,,,
1526608057,Starwatchers: A History of Discovery in the Night Sky,19/06/2025,Joanne Baker,Bloomsbury Publishing,9781526608055,273,🕯️ Cultural;⛩️ All periods;🍭 Global,,,
1399039377,Raising the Tudors: Motherhood in Sixteenth-Century England,25/06/2025,Stephanie Kline,Pen and Sword History,9781399039376,232,🚽 Social;⛪ Early Modern;🥐 Europe;🇬🇧 UK,,,
1399731173,The Buried City: Unearthing the Real Pompeii,22/05/2025,Gabriel Zuchtriegel,Hodder Press,9781399731171,256,🚽 Social;🏛️ Ancient;🥐 Europe;🇮🇹 Italy,,,
180096188X,How to Kill a Witch: A Guide for the Patriarchy,15/05/2025,"Claire Mitchell, Claire Mitchell & Zoe Venditozzi",Monoray,9781800961883,304,🚽 Social;⛪ Early Modern;🥐 Europe;🇬🇧 UK,,,
1405953608,Thomas More: A Life,29/05/2025,Joanne Paul,Michael Joseph,9781405953603,624,🚽 Social;🕯️ Cultural;🏰 Middle Ages;⛪ Early Modern;🥐 Europe;🇬🇧 UK,,,
