burn_col,pk_tag_id,tag_select,tag_text,tag_emoji,emoji_unicode,tag_sort,fk_cat_id,tag_description,,2,7,0,#REF!,#REF!,#N/A
2019,tag-01-001,,2019,2019,1f5d3,7,cat-01,,,,tags selected?,FALSE,,,
2020,tag-01-002,,2020,2020,1f5d3,6,cat-01,,,,,,,,
2021,tag-01-003,,2021,2021,1f5d3,5,cat-01,,,,,,,,
2022,tag-01-004,,2022,2022,1f5d3,4,cat-01,,,,,,,,
2023,tag-01-005,,2023,2023,1f5d3,3,cat-01,,,,,,,,
2024,tag-01-006,,2024,2024,1f5d3,2,cat-01,,,,,,,,
2025,tag-01-007,,2025,2025,1f5d3,1,cat-01,,,,,,,,
Over 1 year old,tag-01-008,,Over 1 year old,Over 1 year old,1f5d3,7,cat-01,,,,,,,,
👑 Political,tag-02-001,,Political,👑,1f451,1,cat-02,,,,tags match?,#N/A,https://amazon.co.uk/dp/1836390211,,
💰 Economic,tag-02-002,,Economic,💰,1f4b0,2,cat-02,,,,,selected tags,books table tags,,
🚽 Social,tag-02-003,,Social,🚽,1f6bd,3,cat-02,,,,,#N/A,#REF!,,
⚔️ Military,tag-02-004,,Military,⚔️,2694,4,cat-02,⚔️ Military or adventure history,,,,,,,
🕯️ Cultural,tag-02-005,,Cultural,🕯️,1f56f,5,cat-02,🕯️ Cultural or religious history,,,,,,,
🐵 Evolutionary,tag-02-006,,Evolutionary,🐵,1f435,6,cat-02,,,,,,,,
📚 Historiography,tag-02-007,,Historiography,📚,1f4da,7,cat-02,,,,,,,,
🏞️ Pre-Human,tag-03-001,,Pre-Human,🏞️,1f3de,1,cat-03,"🏞️ Pre-Human - before 200,000 years ago when modern homo sapiens appeared",,,,,,,
⛺ Pre-Historic,tag-03-002,,Pre-Historic,⛺,26fa,2,cat-03,"⛺ Pre-Historic (pre 3000 BCE) - before the invention of writing about at 3,000 BCE",,,,,,,
🏛️ Ancient,tag-03-003,,Ancient,🏛️,1f3db,3,cat-03,🏛️ Ancient (pre 450) - before decline of Rome at about 450 CE,,,,,,,
🏰 Middle Ages,tag-03-004,,Middle Ages,🏰,1f3f0,4,cat-03,🏰 Middle Ages (450 - 1500) - before Italian Renaissance at about 1500 CE,,,,,,,
⛪ Early Modern,tag-03-005,,Early Modern,⛪,26ea,5,cat-03,⛪ Early Modern (1500 - 1750) - before French Revolution at about 1750 CE,,,,,,,
🏭 Late Modern,tag-03-006,,Late Modern,🏭,1f3ed,6,cat-03,🏭 Late Modern (1750 - 1945) - before living memory at about 1945,,,,,,,
🏗️ Contemporary,tag-03-007,,Contemporary,🏗️,1f3d7,7,cat-03,🏗️ Contemporary - (after 1945) within living memory,,,,,,,
⛩️ All periods,tag-03-008,,All periods,⛩️,26e9,8,cat-03,⛩️ All time periods ie long history,,,,,,,
🥐 Europe,tag-04-001,,Europe,🥐,1f950,1,cat-04,,,,,,,,
🍔 North America,tag-04-002,,North America,🍔,1f354,2,cat-04,,,,,,,,
🌽 Central and S America,tag-04-003,,Central and S America,🌽,1f33d,3,cat-04,,,,,,,,
🍗 Africa,tag-04-004,,Africa,🍗,1f357,4,cat-04,,,,,,,,
🍜 Asia,tag-04-005,,Asia,🍜,1f35c,5,cat-04,,,,,,,,
🍤 Australasia,tag-04-006,,Australasia,🍤,1f364,6,cat-04,,,,,,,,
🍭 Global,tag-04-007,,Global,🍭,1f36d,7,cat-04,,,,,,,,
🇦🇫 Afhganistan,tag-05-066,,Afhganistan,🇦🇫,1f1e6-1f1eb,,cat-05,,,,,,,,
🇩🇿 Algeria,tag-05-001,,Algeria,🇩🇿,1f1e9-1f1ff,,cat-05,,,,,,,,
🇦🇴 Angola,tag-05-002,,Angola,🇦🇴,1f1e6-1f1f4,,cat-05,,,,,,,,
🇦🇺 Australia,tag-05-003,,Australia,🇦🇺,1f1e6-1f1fa,,cat-05,,,,,,,,
🇦🇹 Austria,tag-05-004,,Austria,🇦🇹,1f1e6-1f1f9,,cat-05,,,,,,,,
🇧🇩 Bangladesh,tag-05-068,,Bangladesh,🇧🇩,1f1e7-1f1e9,,cat-05,,,,,,,,
🇧🇪 Beligium,tag-05-074,,Beligium,🇧🇪,1f1e7-1f1ea,,cat-05,,,,,,,,
🇧🇴 Bolivia,tag-05-005,,Bolivia,🇧🇴,1f1e7-1f1f4,,cat-05,,,,,,,,
🇨🇦 Canada,tag-05-006,,Canada,🇨🇦,1f1e8-1f1e6,,cat-05,,,,,,,,
🇨🇳 China,tag-05-007,,China,🇨🇳,1f1e8-1f1f3,,cat-05,,,,,,,,
🇨🇬 Congo,tag-05-008,,Congo,🇨🇬,1f1e8-1f1ec,,cat-05,,,,,,,,
🇨🇺 Cuba,tag-05-009,,Cuba,🇨🇺,1f1e8-1f1fa,,cat-05,,,,,,,,
🇨🇾 Cyprus,tag-05-010,,Cyprus,🇨🇾,1f1e8-1f1fe,,cat-05,,,,,,,,
🇩🇰 Denmark,tag-05-011,,Denmark,🇩🇰,1f1e9-1f1f0,,cat-05,,,,,,,,
🇪🇬 Egypt,tag-05-012,,Egypt,🇪🇬,1f1ea-1f1ec,,cat-05,,,,,,,,
🇪🇹 Ethiopia,tag-05-013,,Ethiopia,🇪🇹,1f1ea-1f1f9,,cat-05,,,,,,,,
🇪🇺 EU,tag-05-014,,EU,🇪🇺,1f1ea-1f1fa,,cat-05,,,,,,,,
🇫🇷 France,tag-05-015,,France,🇫🇷,1f1eb-1f1f7,,cat-05,,,,,,,,
🇩🇪 Germany,tag-05-016,,Germany,🇩🇪,1f1e9-1f1ea,,cat-05,,,,,,,,
🇬🇷 Greece,tag-05-017,,Greece,🇬🇷,1f1ec-1f1f7,,cat-05,,,,,,,,
🇬🇱 Greenland,tag-05-018,,Greenland,🇬🇱,1f1ec-1f1f1,,cat-05,,,,,,,,
🇬🇾 Guyana,tag-05-019,,Guyana,🇬🇾,1f1ec-1f1fe,,cat-05,,,,,,,,
🇭🇹 Haiti,tag-05-020,,Haiti,🇭🇹,1f1ed-1f1f9,,cat-05,,,,,,,,
🇭🇺 Hungary,tag-05-021,,Hungary,🇭🇺,1f1ed-1f1fa,,cat-05,,,,,,,,
🇮🇸 Iceland,tag-05-022,,Iceland,🇮🇸,1f1ee-1f1f8,,cat-05,,,,,,,,
🇮🇳 India,tag-05-023,,India,🇮🇳,1f1ee-1f1f3,,cat-05,,,,,,,,
🇮🇩 Indonesia,tag-05-024,,Indonesia,🇮🇩,1f1ee-1f1e9,,cat-05,,,,,,,,
🇮🇷 Iran,tag-05-025,,Iran,🇮🇷,1f1ee-1f1f7,,cat-05,,,,,,,,
