isbn_10	quote
0008353077	To see a World in a Grain of Sand  And a Heaven in a Wild Flower  Hold Infinity in the palm of your hand  And Eternity in an hour.
0008353077	The total amount of silver dating to the Viking Age found on Gotland now exceeds a thousand kilograms - the weight of a compact car - and includes 168,000 coins.
0141010207	At least, unlike Munslow, I have written a fair amount of archive-based history on topics of, I would say, some significance. And, despite Munslow’s snide remarks… I am perhaps less conceited than Munslow would seem to be suggesting… According to Munslow my book is a sour diatribe against my fellow historians. On the contrary, it is a joyous celebration of the immense achievements of professional history… We need an understanding of the distant past as well as the recent. Do we need Munslow? One has to admire Munslow’s resilience. But does he really have to go on boring the pants off us?
0141010207	There is a common saying that when you are in a hole you should at some juncture cease excavating further. Marwick’s failure to adopt this policy is embarrassingly revealed in some of his throw away sentiments. I am astounded that he should say, for example, that John Warren is a defender of postmodernism, or that postmodernists don’t write books, or that historians are not idealist or materialist, just historians… There are many other regrettable /ludicrous/bizarre/funny/plainly wrong statements of this kind. I would like to say the book is worth the sale price just to find them as, dependent on your point of view, you may find them diverting, but as I got the book free to review I can’t really comment…
0141010207	You can, if you please, turn history into theology by making the meaning of the past depend on some extra-historical and super-rational power. You can, if you please, turn it into literature – a collection of stories and legends about the past without meaning or significance. History properly so-called can be written only by those who find and accept a sense of direction in history itself. The belief that we have come from somewhere is closely linked with the belief that we are going somewhere. A society which has lost belief in its capacity to progress in the future will quickly cease to concern itself with its progress in the past
0190059044	His name [Sargon] was a fiction. It meant “the king is legitimate” - just the kind of name you’d want if you actually were not a legitimate king at all.
0190673060	When he got to the dance floor, Axayacatl lifted up one foot, completely happy in hearing the music, and began to dance and move in circles
0190875348	...an invader with no local god to help him had made unwinnable wars on priests, monkeys and rivers.
0192859560	Caesar eroded the ability of the Senate to adjudicate future disputes. And yet the chain reaction of partisanship was not the creation of one politician alone. Cato's obstruction and boycotts were in their own way revolutionary and damaging, both inciting Caesar's escalation and precluding any alternative solution. In trying to throttle Caesar, Cato had throttled compromise, an essential feature of politics.
0192859560	Politicians can and must argue with each other all the time. But regularly staking out extreme positions, while perhaps rewarding for an individual politician’s career, threatens to devastate the political system overall... Leaders recklessly issue ultimatums that limit the options for everyone. They might even resort to physical violence. Polarisation does not have to end in civil war. But a major civil war starts with it.
0197555845	If the Civil War was a re-enactment of the American Revolution, Lincoln was playing George III.
0197555845	We hold these truths to be self evident; that all men are created equal; that they are endowed by their Creator with certain inalienable rights; that these are life, liberty and the pursuit of happiness; that to secure these rights governments are instituted among men, deriving their just powers from the consent of the governed.
0197648002	Contact with Europeans introduced diseases so virulent that, once infected, local populations could suffer mortalities of 60 percent or more in a matter of weeks, or months at most. Vast tracts of the continent were abandoned as shattered communities became scattered bands of refugees... Whole cultures dissipated or were reinvented by bands of survivors.
0197648002	It is up to each reader to decide whether Ingram’s legacy as a slaver is adequately balanced by his legacy as a sympathetic observer of the people he encountered in Africa and in the Americas.
0197648002	The truth is rarely pure and never simple. Modern life would be very tedious if it were either, and [writing history] a complete impossibility!
0198715951	GREAT CONSPIRACY. Today would have been one of the greatest events that France has ever known if conspiracy had had its way.
0198789009	recovered from the Thames below London Bridge... [the head] had been hacked from the body of the imperial statue, and may have been thrown into the river in an act of ritual abuse and expurgation...
0199858683	Certainly there is this between us: we love (each other) very, very much, and between us let there be friendship
0199858683	tribute on their backs, to seek the peace of His Majesty, desirous of his sweet breath of life. A notable event! [The like of this occurrence] had not been heard of since the time of the demigods: this land which knew not Egypt was supplicating the Good God!
0241413389	...if our hearts shall turn away, so that we will not obey, but shall be seduced, and worship other Gods, our pleasure and profits, and serve them... we shall surely perish out of the good land whither we pass over this vast sea to possess it.
0241413389	Colonists across New England contemplated their own sins and misdemeanours while censuring others, a desire for unity and uniformity mixing with righteous anger, nervous guilt and rank hypocrisy.
