pk_tag_id,tag_text,tag_emoji,emoji_unicode,emoji_img_url,tag_sort,fk_cat_id
tag-01-001,2019,2019,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,1,cat-01
tag-01-002,2020,2020,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,2,cat-01
tag-01-003,2021,2021,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,3,cat-01
tag-01-004,2022,2022,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,4,cat-01
tag-01-005,2023,2023,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,5,cat-01
tag-01-006,2024,2024,1f5d3,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f5d3.png,6,cat-01
tag-02-001,Political,👑,1f451,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f451.png,1,cat-02
tag-02-002,Economic,💰,1f4b0,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f4b0.png,2,cat-02
tag-02-003,Social,🚽,1f6bd,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f6bd.png,3,cat-02
tag-02-004,Military,⚔️,2694,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/2694.png,4,cat-02
tag-02-005,Cultural,🕯️,1f56f,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f56f.png,5,cat-02
tag-02-006,Evolutionary,🐵,1f435,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f435.png,6,cat-02
tag-02-007,Historiography,📚,1f4da,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f4da.png,7,cat-02
tag-03-001,Pre-Human,🏞️,1f3de,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3de.png,1,cat-03
tag-03-002,Pre-Historic,⛺,26fa,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/26fa.png,2,cat-03
tag-03-003,Ancient,🏛️,1f3db,https://res.cloudinary.com/ds2o5ecdw/image/upload/twemoji/1f3db.png,3,cat-03
